aalib1 1.4p5-22
gnumeric-commo 1.2.13-4
gnupg 1.2.4-4
gnupg-doc 2003.04.06-2
goff 1.0-2
gok 0.11.3-2
gpart 0.1h-4
gpgp 0.4-12
gphoto2 2.1.4-3
gpppkill 1.0.3-4
gqview 1.4.3-3
grep 2.5.1.ds1-3
grip 3.2.0-2
groff-base 1.18.1.1-1
grub 0.95+cvs200406
gs 8.01-5
gs-common 0.3.6
gs-esp 7.07.1-9
gs-gpl 8.01-5
gsfonts 8.14+urwcyr1.0
gsfonts-other 6.0-3
gsfonts-x11 0.17
gsm-utils 1.10-5
gstreamer-alsa 0.6.4-5
gstreamer-gcon 0.6.4-5
gstreamer-gnom 0.6.4-5
gstreamer-mad 0.6.4-5
gstreamer-misc 0.6.4-5
gstreamer-oss 0.6.4-5
gstreamer-plug 0.6.4-5
gstreamer-vorb 0.6.4-5
gstreamer0.8-f 0.8.2-3
gstreamer0.8-g 0.8.2-3
gstreamer0.8-m 0.8.2-3
gstreamer0.8-m 0.8.2-3
gstreamer0.8-o 0.8.2-3
gstreamer0.8-v 0.8.2-3
gthumb 2.4.2-1
gtk-engines-ge 0.26-2
gtk-engines-pi 0.12-8
gtk-engines-ra 0.12-8
gtk-engines-th 0.26-2
gtk-theme-swit 2.0.1
gtk2-engines-c 2.6.3-1
gtk2-engines-h 2.6.3-1
gtk2-engines-i 0.2.36.2
gtk2-engines-l 2.6.3-1
gtk2-engines-p 2.2.0-3
gtk2-engines-r 2.2.0-3
gtk2-engines-s 0.5.8-1
gtk2-engines-s 0.7-8
gtk2-engines-t 2.6.3-1
gtkam 0.1.11-2
gtkhtml3.0 3.0.10-1
guadalinex-bon 1.2-2
guadalinex-fsc 1.0-1
guadalinex-hor 1.0-1
guadalinex-num 1.0-3
guadalinex-pro 1.2-3
guadalinex-uti 1.2-2
guadalinex-x11 1.2-4
gucharmap 1.2.0-6
guile-1.6-libs 1.6.4-4
gzip 1.3.5-9
hal 0.2.97-0.1
hdparm 5.6-0.1
hermes1 1.3.3+really1.
hicolor-icon-t 0.5-3
hostname 2.13
hotplug 0.0.20040329-1
hpijs 1.6-3
hwtools 0.8-1
i2e 0.5.1-1
ifupdown 0.6.4-4.8
ijsgimpprint 4.2.7-2
imagemagick 6.0.7.1-1
imlib-base 1.9.14-16
imlib1 1.9.14-16
infhard 1.0-1
info 4.7-2.1
initrd-tools 0.1.74
initscripts 2.86-1
inkscape 0.39-2
iptables 1.2.9-10
irda-utils 0.9.16-7
jackd 0.98.1-5
jade 1.2.1-42
jhead 2.2-1
joe 3.1-0.2
k3b 0.11.12-1
k3b-i18n 0.11-1
k3blibs 0.11.12-1
kde-i18n-es 3.2.3-2
kdebase-bin 3.2.2-1
kdelibs-bin 3.2.3-2
kdelibs-data 3.2.3-2
kdelibs4 3.2.3-2
kernel-image-2 2.6.5-1
kino 0.71-2
klogd 1.4.1-15
lame 3.96-1
lde 2.6.0-6
ldp-es 20021105-5
ldp-es-garl 20021105-5
ldp-es-glup 20021105-5
ldp-es-lipp 20021105-5
ldp-es-lipp2 20021105-5
less 382-1
lesstif2 0.93.94-8
liba52-0.7.4 0.7.4-1
libacl1 2.2.23-1
libadns1 1.0-8.2
libamu2 6.0.9-3
libao2 0.8.5-1
libapm1 3.2.2-2
libart-2.0-2 2.3.16-6
libart2 1.4.2-19
libarts1 1.2.3-1
libartsc0 1.2.3-1
libasn1-6-heim 0.6.2-6
libasound2 1.0.5-1
libaspell15 0.50.5-3
libatk1.0-0 1.6.1-3
libatspi1.0-0 1.4.2-2
libattr1 2.4.16-1
libaudio2 1.6d-2
libaudiofile0 0.2.6-4
libavc1394-0 0.4.1-2
libavifile-0.7 0.7.38.2003071
libblkid1 1.35-6
libbluetooth1 2.9-1
libbonobo-acti 2.4.0-4
libbonobo2 1.0.22-2.2
libbonobo2-0 2.6.2-6
libbonobo2-com 2.6.2-6
libbonoboui2-0 2.6.1-1
libbonoboui2-c 2.6.1-1
libbrlapi 3.4.1-3
libbtctl1 0.4.1-1
libbz2-1.0 1.0.2-1
libc6 2.3.2.ds1-16
libc6-dev 2.3.2.ds1-16
libcap1 1.10-14
libcdio0 0.68-2
libcdk4 4.9.9-3.2
libcdparanoia0 3a9.8-11
libclan2-gui 0.6.5-1-2.2
libclan2-jpeg 0.6.5-1-2.2
libclan2-mikmo 0.6.5-1-2.2
libclan2-png 0.6.5-1-2.2
libclan2-sound 0.6.5-1-2.2
libclan2-vorbi 0.6.5-1-2.2
libclanlib2 0.6.5-1-2.2
libcomerr1-ker 1.2.2-3
libcomerr2 1.35-6
libconsole 0.2.3dbs-54
