aalib1 1.4p5-22
ttf-opensymbol 1.1.2-3
ttf-xfree86-no 4.2.1-2
ttmkfdir 3.0.9-3
tuxracer 0.61-6.4
tuxracer-data 0.61-2
tvtime 0.9.12-2
ucf 1.08
udev 0.031-2
unace 1.2b-2
unrar 0.0.1-1
unzip 5.51-2
usbutils 0.11+cvs200403
usbview 1.0-6
user-euro-es 0.34
util-linux 2.12-7
vim 6.3-013+2
vim-common 6.3-013+2
vim-gtk 6.3-013+2
vorbis-tools 1.0.1-1
wavemon 0.4.0b-6
wget 1.9.1-4
whiptail 0.51.6-5
whois 4.6.21
wine 0.0.20040615-1
winesetuptk 0.7-1
wireless-tools 26+27pre22-1
wordtrans-data 1.1pre13-4
wordtrans-kde 1.1pre13-4
wordtrans-qt 1.1pre13-4
wvdial 1.54.0-1
xapi 1.6-1
xbase-clients 4.3.0.dfsg.1-4
xbsql 0.11-1
xcdroast 0.98+0alpha15-
xchat 2.0.10-0.3
xchat-common 2.0.10-0.3
xdialog 2.0.6-3
xfonts-75dpi 4.3.0.dfsg.1-4
xfonts-75dpi-t 4.3.0.dfsg.1-4
xfonts-artwiz 2.7
xfonts-base 4.3.0.dfsg.1-4
xfonts-base-tr 4.3.0.dfsg.1-4
xfonts-cyrilli 4.3.0.dfsg.1-4
xfonts-scalabl 4.3.0.dfsg.1-4
xfree86-common 4.3.0.dfsg.1-4
xine-ui 0.99.1-1
xlibmesa-dri 4.3.0.dfsg.1-4
xlibmesa-gl 4.3.0.dfsg.1-4
xlibmesa-glu 4.3.0.dfsg.1-4
xlibs 4.3.0.dfsg.1-4
xlibs-data 4.3.0.dfsg.1-4
xml-core 0.09
xmms 1.2.10-1
xmms-crossfade 0.3.5-1
xnest 4.3.0.dfsg.1-4
xpdf 3.00-8
xpdf-common 3.00-8
xpdf-reader 3.00-8
xpdf-utils 3.00-8
xsane 0.95-1
xsane-common 0.95-1
xscreensaver 4.16-1
xscreensaver-g 4.16-1
xscreensaver-g 4.16-1
xserver-common 4.3.0.dfsg.1-4
xserver-xfree8 4.3.0.dfsg.1-4
xterm 4.3.0.dfsg.1-4
xutils 4.3.0.dfsg.1-4
xzoom 0.3-16
yasr 0.6.5-1
yelp 2.6.2-1
zenity 2.6.3-3
zip 2.30-6
zlib1g 1.2.1.1-7
